SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1260,Apple,AAPL,2015-02-27 23:59:59,130.57,128.24,130.0,128.46,61931350.0,0.0
1259,Apple,AAPL,2015-03-02 23:59:59,130.28,128.3,129.25,129.09,48042680.0,0.0
1258,Apple,AAPL,2015-03-03 23:59:59,129.52,128.09,128.96,129.36,37749900.0,0.0
1257,Apple,AAPL,2015-03-04 23:59:59,129.56,128.32,129.1,128.54,31588480.0,0.0
1256,Apple,AAPL,2015-03-05 23:59:59,128.75,125.76,128.58,126.41,56391280.0,0.0
1255,Apple,AAPL,2015-03-06 23:59:59,129.37,126.26,128.4,126.6,72699680.0,0.0
1254,Apple,AAPL,2015-03-09 23:59:59,129.57,125.06,127.96,127.14,88410240.0,0.0
1253,Apple,AAPL,2015-03-10 23:59:59,127.22,123.8,126.41,124.51,68720360.0,0.0
1252,Apple,AAPL,2015-03-11 23:59:59,124.77,122.11,124.75,122.24,68812690.0,0.0
1251,Apple,AAPL,2015-03-12 23:59:59,124.9,121.63,122.31,124.45,48233270.0,0.0
1250,Apple,AAPL,2015-03-13 23:59:59,125.3951,122.58,124.4,123.59,51744670.0,0.0
1249,Apple,AAPL,2015-03-16 23:59:59,124.95,122.87,123.88,124.95,35816300.0,0.0
1248,Apple,AAPL,2015-03-17 23:59:59,127.32,125.65,125.9,127.04,50891230.0,0.0
1247,Apple,AAPL,2015-03-18 23:59:59,129.16,126.37,127.0,128.47,65118170.0,0.0
1246,Apple,AAPL,2015-03-19 23:59:59,129.2451,127.4,128.75,127.495,45674520.0,0.0
1245,Apple,AAPL,2015-03-20 23:59:59,128.4,125.16,128.25,125.9,68516180.0,0.0
1244,Apple,AAPL,2015-03-23 23:59:59,127.85,126.52,127.12,127.21,37597600.0,0.0
1243,Apple,AAPL,2015-03-24 23:59:59,128.04,126.56,127.23,126.69,32747200.0,0.0
1242,Apple,AAPL,2015-03-25 23:59:59,126.82,123.38,126.54,123.38,51505600.0,0.0
1241,Apple,AAPL,2015-03-26 23:59:59,124.88,122.6,122.76,124.24,47409610.0,0.0
1240,Apple,AAPL,2015-03-27 23:59:59,124.7,122.91,124.57,123.25,39471720.0,0.0
1239,Apple,AAPL,2015-03-30 23:59:59,126.4,124.0,124.05,126.37,46974980.0,0.0
1238,Apple,AAPL,2015-03-31 23:59:59,126.49,124.355,126.09,124.43,42019420.0,0.0
1237,Apple,AAPL,2015-04-01 23:59:59,125.12,123.1,124.82,124.25,40463140.0,0.0
1236,Apple,AAPL,2015-04-02 23:59:59,125.56,124.19,125.03,125.32,32171410.0,0.0
1235,Apple,AAPL,2015-04-06 23:59:59,127.51,124.33,124.47,127.35,36917490.0,0.0
1234,Apple,AAPL,2015-04-07 23:59:59,128.1218,125.98,127.64,126.01,34894810.0,0.0
1233,Apple,AAPL,2015-04-08 23:59:59,126.4,124.97,125.85,125.6,37272090.0,0.0
1232,Apple,AAPL,2015-04-09 23:59:59,126.58,124.66,125.85,126.56,32244360.0,0.0
1231,Apple,AAPL,2015-04-10 23:59:59,127.21,125.26,125.95,127.1,40125760.0,0.0
1230,Apple,AAPL,2015-04-13 23:59:59,128.57,126.61,128.37,126.85,36248620.0,0.0
1229,Apple,AAPL,2015-04-14 23:59:59,127.29,125.91,127.0,126.3,25418280.0,0.0
1228,Apple,AAPL,2015-04-15 23:59:59,127.13,126.01,126.41,126.78,28922420.0,0.0
1227,Apple,AAPL,2015-04-16 23:59:59,127.1,126.11,126.28,126.17,28020240.0,0.0
1226,Apple,AAPL,2015-04-17 23:59:59,126.14,124.46,125.55,124.75,51481310.0,0.0
1225,Apple,AAPL,2015-04-20 23:59:59,128.12,125.17,125.57,127.6,46975110.0,0.0
1224,Apple,AAPL,2015-04-21 23:59:59,128.2,126.67,128.1,126.91,32341380.0,0.0
1223,Apple,AAPL,2015-04-22 23:59:59,128.87,126.32,126.99,128.62,37575420.0,0.0
1222,Apple,AAPL,2015-04-23 23:59:59,130.42,128.14,128.3,129.67,45596690.0,0.0
1221,Apple,AAPL,2015-04-24 23:59:59,130.63,129.23,130.49,130.28,44209710.0,0.0
1220,Apple,AAPL,2015-04-27 23:59:59,133.13,131.15,132.31,132.65,95084260.0,0.0
1219,Apple,AAPL,2015-04-28 23:59:59,134.54,129.57,134.455,130.56,118693700.0,0.0
1218,Apple,AAPL,2015-04-29 23:59:59,131.59,128.3,130.16,128.64,63063240.0,0.0
1217,Apple,AAPL,2015-04-30 23:59:59,127.88,124.58,127.5,125.15,82924980.0,0.0
1216,Apple,AAPL,2015-05-01 23:59:59,130.13,125.3,126.1,128.95,57349000.0,0.0
1215,Apple,AAPL,2015-05-04 23:59:59,130.57,128.26,129.5,128.7,50905020.0,0.0
1214,Apple,AAPL,2015-05-05 23:59:59,128.4498,125.78,128.15,125.8,49127770.0,0.0
1213,Apple,AAPL,2015-05-06 23:59:59,126.75,123.36,126.56,125.01,72037370.0,0.0
1212,Apple,AAPL,2015-05-07 23:59:59,126.08,124.02,124.77,125.26,42653920.0,0.0
1211,Apple,AAPL,2015-05-08 23:59:59,127.62,126.11,126.68,127.62,55473820.0,0.0
1210,Apple,AAPL,2015-05-11 23:59:59,127.56,125.625,127.39,126.32,41920740.0,0.0
1209,Apple,AAPL,2015-05-12 23:59:59,126.88,124.82,125.6,125.865,48073450.0,0.0
1208,Apple,AAPL,2015-05-13 23:59:59,127.19,125.87,126.15,126.01,34611600.0,0.0
1207,Apple,AAPL,2015-05-14 23:59:59,128.95,127.16,127.41,128.95,45123920.0,0.0
1206,Apple,AAPL,2015-05-15 23:59:59,129.49,128.21,129.07,128.77,38128470.0,0.0
1205,Apple,AAPL,2015-05-18 23:59:59,130.72,128.36,128.38,130.19,50723240.0,0.0
1204,Apple,AAPL,2015-05-19 23:59:59,130.88,129.64,130.69,130.07,44395440.0,0.0
1203,Apple,AAPL,2015-05-20 23:59:59,130.98,129.34,130.0,130.06,36261170.0,0.0
1202,Apple,AAPL,2015-05-21 23:59:59,131.63,129.83,130.07,131.39,39589780.0,0.0
1201,Apple,AAPL,2015-05-22 23:59:59,132.97,131.4,131.6,132.54,45469340.0,0.0
1200,Apple,AAPL,2015-05-26 23:59:59,132.91,129.12,132.6,129.62,70544670.0,0.0
1199,Apple,AAPL,2015-05-27 23:59:59,132.26,130.05,130.34,132.045,45771120.0,0.0
1198,Apple,AAPL,2015-05-28 23:59:59,131.95,131.1,131.86,131.78,30678840.0,0.0
1197,Apple,AAPL,2015-05-29 23:59:59,131.45,129.9,131.23,130.28,50474170.0,0.0
1196,Apple,AAPL,2015-06-01 23:59:59,131.39,130.05,131.2,130.535,32016020.0,0.0
1195,Apple,AAPL,2015-06-02 23:59:59,130.655,129.32,129.86,129.96,33595980.0,0.0
1194,Apple,AAPL,2015-06-03 23:59:59,130.94,129.9,130.66,130.12,30939810.0,0.0
1193,Apple,AAPL,2015-06-04 23:59:59,130.58,128.91,129.58,129.36,38335980.0,0.0
1192,Apple,AAPL,2015-06-05 23:59:59,129.69,128.36,129.5,128.65,35577760.0,0.0
1191,Apple,AAPL,2015-06-08 23:59:59,129.21,126.83,128.9,127.8,52609900.0,0.0
1190,Apple,AAPL,2015-06-09 23:59:59,128.08,125.62,126.7,127.42,56002840.0,0.0
1189,Apple,AAPL,2015-06-10 23:59:59,129.34,127.85,127.92,128.88,39029190.0,0.0
1188,Apple,AAPL,2015-06-11 23:59:59,130.18,128.475,129.18,128.59,35344520.0,0.0
1187,Apple,AAPL,2015-06-12 23:59:59,128.33,127.11,128.185,127.17,36826260.0,0.0
1186,Apple,AAPL,2015-06-15 23:59:59,127.24,125.71,126.1,126.92,43896960.0,0.0
1185,Apple,AAPL,2015-06-16 23:59:59,127.85,126.37,127.03,127.6,31443650.0,0.0
1184,Apple,AAPL,2015-06-17 23:59:59,127.88,126.74,127.72,127.3,32858900.0,0.0
1183,Apple,AAPL,2015-06-18 23:59:59,128.31,127.22,127.23,127.88,35363990.0,0.0
1182,Apple,AAPL,2015-06-19 23:59:59,127.82,126.4,127.71,126.6,54361530.0,0.0
1181,Apple,AAPL,2015-06-22 23:59:59,128.06,127.08,127.49,127.61,33976180.0,0.0
1180,Apple,AAPL,2015-06-23 23:59:59,127.61,126.8792,127.48,127.03,30192140.0,0.0
1179,Apple,AAPL,2015-06-24 23:59:59,129.8,127.12,127.21,128.11,55077520.0,0.0
1178,Apple,AAPL,2015-06-25 23:59:59,129.2,127.5,128.86,127.5,31872390.0,0.0
1177,Apple,AAPL,2015-06-26 23:59:59,127.99,126.51,127.67,126.75,43986290.0,0.0
1176,Apple,AAPL,2015-06-29 23:59:59,126.47,124.48,125.46,124.53,49043410.0,0.0
1175,Apple,AAPL,2015-06-30 23:59:59,126.12,124.86,125.57,125.425,44326050.0,0.0
1174,Apple,AAPL,2015-07-01 23:59:59,126.94,125.99,126.9,126.6,30206890.0,0.0
1173,Apple,AAPL,2015-07-02 23:59:59,126.69,125.77,126.43,126.44,27171180.0,0.0
1172,Apple,AAPL,2015-07-06 23:59:59,126.23,124.85,124.94,126.0,27972950.0,0.0
1171,Apple,AAPL,2015-07-07 23:59:59,126.15,123.77,125.89,125.69,46737090.0,0.0
1170,Apple,AAPL,2015-07-08 23:59:59,124.64,122.54,124.48,122.57,60609830.0,0.0
1169,Apple,AAPL,2015-07-09 23:59:59,124.06,119.22,123.85,120.07,78291510.0,0.0
1168,Apple,AAPL,2015-07-10 23:59:59,123.85,121.21,121.94,123.28,61292800.0,0.0
1167,Apple,AAPL,2015-07-13 23:59:59,125.755,124.32,125.03,125.66,41365600.0,0.0
1166,Apple,AAPL,2015-07-14 23:59:59,126.37,125.04,126.04,125.61,31695870.0,0.0
